English,Telugu,Swahili,Hindi,Arabic
Your baby may have a cold or the flu. You should monitor their symptoms and take them to the doctor if their cough worsens or they develop a fever.,మీ శిశువుకు జలుబు లేదా ఫ్లూ ఉండవచ్చు. వారి లక్షణాలను గమనించండి మరియు వారి దగ్గు తీవ్రమవు,Mtoto wako anaweza kuwa na mafua au mafua. Unapaswa kufuatilia dalili zao na kuzipeleka kwa daktari ikiwa kikohozi chao kitazidi kuwa mbaya au wanapatwa na homa.,आपके बच्चे को सर्दी या फ्लू हो सकता है। आपको उनके लक्षणों की निगरानी करनी चाहिए और उन्हें डॉक्टर के पास ले जाना चाहिए यदि उनकी खांसी खराब हो जाती है या वे बुखार विकसित करते हैं।,قد يكون طفلك مصابا بنزلة برد أو إنفلونزا. يجب عليك مراقبة أعراضهم واصطحابهم إلى الطبيب إذا تفاقم السعال أو أصيبوا بالحمى.
My baby has a stuffy nose.,నా శిశువుకు ముక్కు దగ్గరగా ఉంది.,Mtoto wangu ana pua ya kupendeza.,मेरे बच्चे की नाक भरी हुई है।,طفلي يعاني من انسداد في الأنف.
How long has your baby had a stuffy nose?,మీ శిశువుకు ఎంతకాలం ముక్కు దగ్గరగా ఉంది?,Mtoto wako amekuwa na pua ya chunusi kwa muda gani?,आपके बच्चे की नाक कितने समय से भरी हुई है?,منذ متى يعاني طفلك من انسداد الأنف؟
My baby has had a stuffy nose for a few days.,నా శిశువుకు కొన్ని రోజులు ముక్కు దగ్గరగా ఉంది.,Mtoto wangu amekuwa na pua ya kupendeza kwa siku chache.,मेरे बच्चे की नाक कुछ दिनों से भरी हुई है।,كان طفلي يعاني من انسداد الأنف لبضعة أيام.
Is your baby's nose runny or dry?,మీ శిశువు ముక్కు దగ్గుతుంది లేదా పొడిగా ఉందా?,"Je, pua ya mtoto wako ni kavu au kavu?",क्या आपके बच्चे की नाक बहती है या सूखी है?,هل أنف طفلك سيلان أم جاف؟
My baby's nose is runny and clear.,నా శిశువు ముక్కు దగ్గుతుంది మరియు స్పష్టంగా ఉంది.,Pua ya mtoto wangu ni wazi na wazi.,मेरे बच्चे की नाक बहती और साफ है।,أنف طفلي سائل وواضح.
Your baby may have a cold or the flu. You should use a saline nasal spray or drops to clear their congestion and monitor their symptoms.,మీ శిశువుకు జలుబు లేదా ఫ్లూ ఉండవచ్చు. వారి రద్దీని తగ్గించడానికి మరియు వారి లక్షణాలను గమనించడానికి మీరు సలైన్ నాసిల్ స్ప్రే లేదా డ్రాప్స్ ఉపయోగించాలి.,Mtoto wako anaweza kuwa na mafua au mafua. Unapaswa kutumia dawa ya pua ya saline au matone ili kuondoa msongamano wao na kufuatilia dalili zao.,आपके बच्चे को सर्दी या फ्लू हो सकता है। आपको उनकी भीड़ को साफ करने और उनके लक्षणों की निगरानी के लिए एक खारा नाक स्प्रे या बूंदों का उपयोग करना चाहिए।,قد يكون طفلك مصابا بنزلة برد أو إنفلونزا. يجب عليك استخدام رذاذ الأنف الملحي أو قطرات لإزالة الاحتقان ومراقبة أعراضهم.
My baby has diarrhea.,నా శిశువుకు విరేచనాలు ఉన్నాయి.,Mtoto wangu ana ugonjwa wa kuhara.,मेरे बच्चे को दस्त है।,طفلي مصاب بالإسهال.
How often is your baby having bowel movements?,మీ శిశువుకు ఎంత తరచుగా మల విసర్జనలు జరుగుతున్నాయి?,Ni mara ngapi mtoto wako ana harakati za matumbo?,आपके बच्चे को कितनी बार मल त्याग होता है?,كم مرة يعاني طفلك من حركات الأمعاء؟
My baby is having more than six bowel movements per day.,నా శిశువు రోజుకు ఆరు కంటే ఎక్కువ మల విసర్జనలు చేస్తున్నారు.,Mtoto wangu ana zaidi ya harakati sita za matumbo kwa siku.,मेरे बच्चे को प्रति दिन छह से अधिक मल त्याग हो रहा है।,يعاني طفلي من أكثر من ست حركات أمعاء يوميا.
Is your baby's stool watery or loose?,మీ పాప మలం నీళ్ళుగా ఉందా లేదా వదులుగా ఉందా?,"Je, kinyesi cha mtoto wako kina maji au kimelegea?",क्या आपके बच्चे का मल पानी या ढीला है?,هل براز طفلك مائي أم رخو؟
"Yes, my baby's stool is watery and loose.","అవును, నా శిశువు మలం నీరసంగా మరియు వదువుగా ఉంది.","Ndio, kinyesi cha mtoto wangu ni maji na huru.","हां, मेरे बच्चे का मल पानी दार और ढीला है।",نعم ، براز طفلي مائي وفضفاض.
Your baby may have a viral infection or dehydration. You should give your baby plenty of fluids to stay hydrated and consult with your doctor if their diarrhea persists for more than 24 hours.,మీ శిశువుకు వైరల్ ఇన్ఫెక్షన్ లేదా డిహైడ్రేషన్ ఉండవచ్చు. మీరు మీ శిశువుకు తేమగా ఉండేందుకు పుష్కలంగా ద్రవాలు ఇవ్వాలి మరియు వారి విరేచనాలు 24 గంటలకు పైగా ఉంటే మీ డాక్టర్‌తో సంప్రదించాలి.,Mtoto wako anaweza kuwa na maambukizi ya virusi au upungufu wa maji mwilini. Unapaswa kumpa mtoto wako maji mengi ya kukaa na maji na kushauriana na daktari wako ikiwa kuhara kwao kutaendelea kwa zaidi ya masaa 24.,आपके बच्चे को वायरल संक्रमण या निर्जलीकरण हो सकता है। आपको अपने बच्चे को हाइड्रेटेड रहने के लिए बहुत सारे तरल पदार्थ देने चाहिए और अपने डॉक्टर से परामर्श करना चाहिए यदि उनका दस्त 24 घंटे से अधिक समय तक बना रहता है।,قد يكون طفلك مصابا بعدوى فيروسية أو جفاف. يجب أن تعطي طفلك الكثير من السوائل للبقاء رطبا واستشارة طبيبك إذا استمر الإسهال لأكثر من 24 ساعة.
